pos0,pos1,neg0,neg1
"it's mostly a pleasure to watch . and the reason for that is a self-aware , often self-mocking , intelligence .","swimming is above all about a young woman's face , and by casting an actress whose face projects that woman's doubts and yearnings , it succeeds .","the good is very , very good . . . the rest runs from mildly unimpressive to despairingly awful .",a late-night cable sexploitation romp masquerading as a thriller about the ruthless social order that governs college cliques .
"jae-eun jeong's take care of my cat brings a beguiling freshness to a coming-of-age story with such a buoyant , expressive flow of images that it emerges as another key contribution to the flowering of the south korean cinema .",it is intensely personal and yet -- unlike quills -- deftly shows us the temper of the times .,"because the intelligence level of the characters must be low , very low , very very low , for the masquerade to work , the movie contains no wit , only labored gags .","some of their jokes work , but most fail miserably and in the end , pumpkin is far more offensive than it is funny ."
"led by griffin's smartly nuanced performance and enthusiasm , the cast has a lot of fun with the material .","if "" lilo & stitch "" isn't the most edgy piece of disney animation to hit the silver screen , then this first film to use a watercolor background since "" dumbo "" certainly ranks as the most original in years .",a waste of fearless purity in the acting craft .,"occasionally loud and offensive , but more often , it simply lulls you into a gentle waking coma ."
"red dragon is less baroque and showy than hannibal , and less emotionally affecting than silence . but , like silence , it's a movie that gets under your skin .",this comic gem is as delightful as it is derivative .,"jackson shamefully strolls through this mess with a smug grin , inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder .","i don't mind having my heartstrings pulled , but don't treat me like a fool ."
"'barbershop "" is a good-hearted ensemble comedy with a variety of quirky characters and an engaging story .",holm . . . embodies the character with an effortlessly regal charisma .,an uneven film dealing with too many problems to be taken seriously .,"every time you look , sweet home alabama is taking another bummer of a wrong turn ."
"a gem of a romantic crime comedy that turns out to be clever , amusing and unpredictable .",there are some wonderfully fresh moments that smooth the moral stiffness with human kindness and hopefulness .,like a soft drink that's been sitting open too long : it's too much syrup and not enough fizz .,impostor is a step down for director gary fleder .
it's fascinating to see how bettany and mcdowell play off each other .,"a delightful romantic comedy with plenty of bite . it's far from a frothy piece , and the characters are complex , laden with plenty of baggage and tinged with tragic undertones .","but the power of these [subjects] is obscured by the majority of the film that shows a stationary camera on a subject that could be mistaken for giving a public oration , rather than contributing to a film's narrative .",has the marks of a septuagenarian ; it's a crusty treatment of a clever gimmick .
"terry is a sort of geriatric dirty harry , which will please eastwood's loyal fans -- and suits the story , wherein our hero must ride roughshod over incompetent cops to get his man .",it confirms fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight .,it is too bad that this likable movie isn't more accomplished . the actors try hard but come off too amateurish and awkward .,what's really sad is to see two academy award winning actresses ( and one academy award winning actor ) succumb to appearing in this junk that's tv sitcom material at best .
"inherently caustic and oddly whimsical , the film chimes in on the grieving process and strangely draws the audience into the unexplainable pain and eccentricities that are attached to the concept of loss .","a memorable experience that , like many of his works , presents weighty issues colorfully wrapped up in his own idiosyncratic strain of kitschy goodwill .","the people in abc africa are treated as docile , mostly wordless ethnographic extras .",this is a movie where the most notable observation is how long you've been sitting still .
"about schmidt is undoubtedly one of the finest films of the year . if you're not deeply touched by this movie , check your pulse .",a very funny romantic comedy about two skittish new york middle-agers who stumble into a relationship and then struggle furiously with their fears and foibles .,"there's just no currency in deriding james bond for being a clichéd , doddering , misogynistic boy's club .","the filmmakers know how to please the eye , but it is not always the prettiest pictures that tell the best story ."
"unfolds with such a wallop of you-are-there immediacy that when the bullets start to fly , your first instinct is to duck .",. . . a poignant and powerful narrative that reveals that reading writing and arithmetic are not the only subjects to learn in life .,"while kids will probably eat the whole thing up , most adults will be way ahead of the plot .",could as easily have been called 'under siege 3 : in alcatraz' . . . a cinematic corpse that never springs to life .
"expands the limits of what a film can be , taking us into the lives of women to whom we might not give a second look if we passed them on the street .",just how these families interact may surprise you .,an average b-movie with no aspirations to be anything more .,"a sour , nasty offering ."
"those who would follow haneke on his creepy explorations . . . are rewarded by brutal , committed performances from huppert and magimel .",some remarkable achival film about how shanghai ( of all places ) served jews who escaped the holocaust .,this thing is just garbage .,"tartakovsky's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality ."
unflinchingly bleak and desperate,what a bewilderingly brilliant and entertaining movie this is .,"pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer adam larson broder and his co-director , tony r . abrams , in their feature debut .",just isn't as weird as it ought to be .
"the story , once it gets rolling , is nothing short of a great one .","it just may inspire a few younger moviegoers to read stevenson's book , which is a treasure in and of itself .","a fast-paced , glitzy but extremely silly piece .","crudup's screen presence is the one thing that holds interest in the midst of a mushy , existential exploration of why men leave their families ."
fulfills the minimum requirement of disney animation .,". . . best seen as speculative history , as much an exploration of the paranoid impulse as a creative sequel to the warren report .",you leave feeling like you've endured a long workout without your pulse ever racing .,"jacquot's rendering of puccini's tale of devotion and double-cross is more than just a filmed opera . in his first stab at the form , jacquot takes a slightly anarchic approach that works only sporadically ."
"now as a former gong show addict , i'll admit it , my only complaint is that we didn't get more re-creations of all those famous moments from the show .",a backstage must-see for true fans of comedy .,ja rule and kurupt should have gotten to rap . it would have benefitted the dialogue .,"a sleep-inducingly slow-paced crime drama with clumsy dialogue , heavy-handed phoney-feeling sentiment , and an overly-familiar set of plot devices ."
"perhaps the grossest movie ever made . funny , though .",works because reno doesn't become smug or sanctimonious towards the audience .,"a perplexing example of promise unfulfilled , despite many charming moments .","as with too many studio pics , plot mechanics get in the way of what should be the lighter-than-air adventure ."
"my thoughts were focused on the characters . that is a compliment to kuras and miller . if i had been thinking about the visual medium , they would have been doing something wrong .","'estupendamente actuada , sumamente emotiva y profundamente humana , es una experiencia fílmica imposible de olvidar'","in theory , a middle-aged romance pairing clayburgh and tambor sounds promising , but in practice it's something else altogether -- clownish and offensive and nothing at all like real life .","while the mystery unravels , the characters respond by hitting on each other ."
"a film of epic scale with an intimate feeling , a saga of the ups and downs of friendships .",this is the best american movie about troubled teens since 1998's whatever .,"if jews were catholics , this would be catechism",one lousy movie .
"a generation x artifact , capturing a brief era of insanity in the sports arena that surely cannot last .","the movie isn't always easy to look at . but if it is indeed a duty of art to reflect life , than leigh has created a masterful piece of artistry right here .","pascale bailly's rom-com provides amélie's audrey tautou with another fabuleux destin -- i . e . , a banal spiritual quest .","the movie takes itself too seriously and , as a result , it makes for only intermittent fun ."
you could love safe conduct ( laissez passer ) for being a subtitled french movie that is 170 minutes long . you could hate it for the same reason .,"stevenson's performance is at once clueless and fiercely committed , a volatile combination .",enduring love but exhausting cinema .,"the french director has turned out nearly 21/2 hours of unfocused , excruciatingly tedious cinema that , half an hour in , starts making water torture seem appealing ."
"' . . . despite lagging near the finish line , the movie runs a good race , one that will have you at the edge of your seat for long stretches . '","we know the plot's a little crazy , but it held my interest from start to finish .","with jump cuts , fast editing and lots of pyrotechnics , yu clearly hopes to camouflage how bad his movie is . he fails .",the big ending surprise almost saves the movie . it's too bad that the rest isn't more compelling .
together writer-director danny verete's three tales comprise a powerful and reasonably fulfilling gestalt .,"at a time when half the so-called real movies are little more than live-action cartoons , it's refreshing to see a cartoon that knows what it is , and knows the form's history .",what would jesus do if he was a film director ? he'd create a movie better than this .,"a frustrating 'tweener' -- too slick , contrived and exploitative for the art houses and too cynical , small and decadent for the malls ."
life on the rez is no picnic : this picture shows you why .,"a slick , engrossing melodrama .",a sentimental mess that never rings true .,"the movie , directed by mick jackson , leaves no cliche unturned , from the predictable plot to the characters straight out of central casting ."
digital-video documentary about stand-up comedians is a great glimpse into a very different world .,"streamlined to a tight , brisk 85-minute screwball thriller , "" big trouble "" is funny , harmless and as substantial as a tub of popcorn with extra butter .",flounders due to the general sense that no two people working on the production had exactly the same thing in mind .,"howard and his co-stars all give committed performances , but they're often undone by howard's self-conscious attempts to find a 'literary' filmmaking style to match his subject ."
"may lack the pungent bite of its title , but it's an enjoyable trifle nonetheless .","if you can tolerate the redneck-versus-blueblood cliches that the film trades in , sweet home alabama is diverting in the manner of jeff foxworthy's stand-up act .",not so much farcical as sour .,"at least it's a fairly impressive debut from the director , charles stone iii ."
"if divine secrets of the ya-ya sisterhood suffers from a ploddingly melodramatic structure , it comes to life in the performances .","oscar wilde's masterpiece , the importance of being earnest , may be the best play of the 19th century . it's so good that its relentless , polished wit can withstand not only inept school productions , but even oliver parker's movie adaptation .","if legendary shlockmeister ed wood had ever made a movie about a vampire , it probably would look a lot like this alarming production , adapted from anne rice's novel the vampire chronicles .","in trying to be daring and original , it comes off as only occasionally satirical and never fresh ."
"decasia is what has happened already to so many silent movies , newsreels and the like . the unexpected thing is that its dying , in this shower of black-and-white psychedelia , is quite beautiful .",a fascinating documentary about the long and eventful spiritual journey of the guru who helped launch the new age .,"has nothing good to speak about other than the fact that it is relatively short , tries its best to hide the fact that seagal's overweight and out of shape .","an odd , haphazard , and inconsequential romantic comedy ."
"es divertida , visualmente espectacular y muy entretenida . simple y sencillamente te sorprenderá .","más sarcástica , divertida y demencial que su predecesora , es un buen ejemplo de lo que es el cine de entretenimiento puro y sin complejos .","downbeat , period-perfect biopic hammers home a heavy-handed moralistic message .","definitely in the guilty pleasure b-movie category , reign of fire is so incredibly inane that it is laughingly enjoyable ."
a potent allegorical love story .,"gorgeous scenes , masterful performances , but the sickly sweet gender normative narrative left an acrid test in this gourmet's mouth .",this dreadfully earnest inversion of the concubine love triangle eschews the previous film's historical panorama and roiling pathos for bug-eyed mugging and gay-niche condescension .,schneider's mugging is relentless and his constant need to suddenly transpose himself into another character undermines the story's continuity and progression .
"stay clear of reminding yourself that it's a "" true story "" and you're likely to have one helluva time at the movies .",parker cannot sustain the buoyant energy level of the film's city beginnings into its country conclusion,"there's an excellent 90-minute film here ; unfortunately , it runs for 170 .","if this holiday movie is supposed to be a gift , somebody unwrapped it early , took out all the good stuff , and left behind the crap ( literally ) ."
a rip-roaring comedy action fest that'll put hairs on your chest .,marshall puts a suspenseful spin on standard horror flick formula .,an often unfunny romp .,they takes a long time to get to its gasp-inducing ending .
lapaglia's ability to convey grief and hope works with weaver's sensitive reactions to make this a two-actor master class .,where bowling for columbine is at its most valuable is in its examination of america's culture of fear as a root cause of gun violence .,"every potential twist is telegraphed well in advance , every performance respectably muted ; the movie itself seems to have been made under the influence of rohypnol .","the effort is sincere and the results are honest , but the film is so bleak that it's hardly watchable ."
"for 95 often hilarious minutes , [cho] riffs on the diciness of colonics , on straight versus gay personal ads , on how men would act if they had periods , and on the perils of a certain outré sexual practice .",writer and director otar iosseliani's pleasant tale about a factory worker who escapes for a holiday in venice reveals how we all need a playful respite from the grind to refresh our souls .,"louiso lets the movie dawdle in classic disaffected-indie-film mode , and brother hoffman's script stumbles over a late-inning twist that just doesn't make sense .","the film is based on truth and yet there is something about it that feels incomplete , as if the real story starts just around the corner ."
"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .","shainberg weaves a carefully balanced scenario that is controlled by neither character , is weirdly sympathetic to both and manages to be tender and darkly comic .",exists then as an occasionally insightful acting exercise .,"despite the fact that this film wasn't as bad as i thought it was going to be , it's still not a good movie"
"lathan and diggs have considerable personal charm , and their screen rapport makes the old story seem new .","ao sair do cinema , eu estava feliz e com saudades de um tempo em que , para mim , a existência de papai noel era um fato inquestionável .","about amy's cuteness , amy's career success ( she's a best-selling writer of self-help books who can't help herself ) , and amy's neuroses when it comes to men .",the inherent limitations of using a video game as the source material movie are once again made all too clear in this schlocky horror/action hybrid .
malcolm mcdowell is cool . paul bettany is cool . paul bettany playing malcolm mcdowell ? cool .,that the film opens with maggots crawling on a dead dog is not an out of place metaphor .,"as pure over-the-top trash , any john waters movie has it beat by a country mile .","though it draws several decent laughs , it's low-cal woody at best ."
"it's not exactly a gourmet meal but the fare is fair , even coming from the drive-thru .","remember the kind of movie we were hoping "" ecks vs . sever "" or "" xxx "" was going to be ? this is it .","this may be the dumbest , sketchiest movie on record about an aspiring writer's coming-of-age .",it's fitting that a movie as artificial and soulless as the country bears owes its genesis to an animatronic display at disneyland .
"deep intelligence and a warm , enveloping affection breathe out of every frame .","it's jagger's bone-dry , mournfully brittle delivery that gives the film its bittersweet bite .","shaky close-ups of turkey-on-rolls , stubbly chins , liver spots , red noses and the filmmakers new bobbed do draw easy chuckles but lead nowhere .",the title helpfully offers the most succinct review of it you'll read anywhere .
"it's a beautiful film , full of elaborate and twisted characters - and it's also pretty funny .","full of profound , real-life moments that anyone can relate to , it deserves a wide audience .",we've liked klein's other work but rollerball left us cold .,"the entire film is one big excuse to play one lewd scene after another . about half of them are funny , a few are sexy and none are useful in telling the story , which is paper-thin and decidedly unoriginal ."
"anyone who's ever suffered under a martinet music instructor has no doubt fantasized about what an unhappy , repressed and twisted personal life their tormentor deserved . these people are really going to love the piano teacher .",scott delivers a terrific performance in this fascinating portrait of a modern lothario .,it has plenty of laughs . it just doesn't have much else . . . especially in a moral sense .,plays like a bad blend of an overripe episode of tv's dawson's creek and a recycled and dumbed-down version of love story .
"that rare movie that works on any number of levels -- as a film of magic and whimsy for children , a heartfelt romance for teenagers and a compelling argument about death , both pro and con , for adults .","a compelling pre-wwii drama with vivid characters and a warm , moving message .",i found myself growing more and more frustrated and detached as vincent became more and more abhorrent .,vera's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them .
"while the glass slipper doesn't quite fit , pumpkin is definitely a unique modern fairytale .","one feels the dimming of a certain ambition , but in its place a sweetness , clarity and emotional openness that recalls the classics of early italian neorealism .",a crude teen-oriented variation on a theme that the playwright craig lucas explored with infinitely more grace and eloquence in his prelude to a kiss .,too bad kramer couldn't make a guest appearance to liven things up .
cho continues her exploration of the outer limits of raunch with considerable brio .,"even bigger and more ambitious than the first installment , spy kids 2 looks as if it were made by a highly gifted 12-year-old instead of a grown man .",no amount of good acting is enough to save oleander's uninspired story .,"though ganesh is successful in a midlevel sort of way , there's nothing so striking or fascinating or metaphorically significant about his career as to rate two hours of our attention ."
"vividly conveys the passion , creativity , and fearlessness of one of mexico's most colorful and controversial artists -- a captivating drama that will speak to the nonconformist in us all .","never mind whether you buy the stuff about barris being a cia hit man . the kooky yet shadowy vision clooney sustains throughout is daring , inventive and impressive .","preposterous and tedious , sonny is spiked with unintentional laughter that , unfortunately , occurs too infrequently to make the film even a guilty pleasure .",the lack of opposing viewpoints soon grows tiresome -- the film feels more like a series of toasts at a testimonial dinner than a documentary .
"the film is exhilarating to watch because sandler , liberated from the constraints of formula , reveals unexpected depths as an actor .",the film has several strong performances .,"a worthy idea , but the uninspired scripts , acting and direction never rise above the level of an after-school tv special .",[plays] in broad outline as pandering middle-age buddy-comedy .
"in his debut as a film director , denzel washington delivers a lean and engaging work .","with tightly organized efficiency , numerous flashbacks and a constant edge of tension , miller's film is one of 2002's involvingly adult surprises .","at first , the sight of a blind man directing a film is hilarious , but as the film goes on , the joke wears thin .","[morgan] , judd and franklin can't save the script , rooted in a novel by joseph finder , from some opportunism ."
there's just something about watching a squad of psychopathic underdogs whale the tar out of unsuspecting lawmen that reaches across time and distance .,"at its worst the screenplay is callow , but at its best it is a young artist's thoughtful consideration of fatherhood .",'this movie sucks . ',"something akin to a japanese alice through the looking glass , except that it seems to take itself far more seriously ."
"while tattoo borrows heavily from both seven and the silence of the lambs , it manages to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in .",the next generation of mob movie . part low rent godfather . part three stooges .,"like most sequels , it takes what worked last time , repeats it and adds more characters , more stunts , more stuff in attempt to camouflage its sameness .",the backyard battles you staged with your green plastic army men were more exciting and almost certainly made more sense .
this sci-fi techno-sex thriller starts out bizarre and just keeps getting weirder .,"es divertida , visualmente espectacular y muy entretenida . simple y sencillamente te sorprenderá .","this kind of dark comedy requires a delicate , surgical touch . but director danny devito and screenwriter adam resnick ( remember cabin boy ? ) just pound away .",i don't even care that there's no plot in this antonio banderas-lucy liu faceoff . it's still terrible !
the smartest bonehead comedy of the summer .,"an entertaining , colorful , action-filled crime story with an intimate heart .",a movie that tries to fuse the two 'woods' but winds up a bolly-holly masala mess .,malone does have a gift for generating nightmarish images that will be hard to burn out of your brain . but the movie's narrative hook is way too muddled to be an effectively chilling guilty pleasure .
what jackson has accomplished here is amazing on a technical level .,the obnoxious title character provides the drama that gives added clout to this doc .,a soulless jumble of ineptly assembled cliches and pabulum that plays like a 95-minute commercial for nba properties .,eight legged freaks won't join the pantheon of great monster/science fiction flicks that we have come to love . . .
"despite its lavish formalism and intellectual austerity , the film manages to keep you at the edge of your seat with its shape-shifting perils , political intrigue and brushes with calamity .","what makes salton sea surprisingly engrossing is that caruso takes an atypically hypnotic approach to a world that's often handled in fast-edit , hopped-up fashion .","without non-stop techno or the existential overtones of a kieslowski morality tale , maelström is just another winter sleepers .",. . . built on the premise that middle-class arkansas consists of monster truck-loving good ol' boys and peroxide blond honeys whose worldly knowledge comes from tv reruns and supermarket tabloids .
"the sweetest thing , a romantic comedy with outrageous tendencies , may be a mess in a lot of ways . but it does have one saving grace . a lot of its gags and observations reflect a woman's point-of-view .","flavorful and romantic , you could call this how martha got her groove back -- assuming , that is , she ever had one to begin with .",a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going .,fails to bring as much to the table .
disturbing and brilliant documentary .,'de niro . . . is a veritable source of sincere passion that this hollywood contrivance orbits around . ',"harrison's flowers puts its heart in the right place , but its brains are in no particular place at all .","however sincere it may be , the rising place never quite justifies its own existence ."
"'a fresh-faced , big-hearted and frequently funny thrill ride for the kiddies , with enough eye candy and cheeky wit to keep parents away from the concession stand . '",many a parent and their teen ( or preteen ) kid could bond while watching a walk to remember . so could young romantics out on a date .,"god is great , the movie's not .",a cinematic sleeping pill of impressive potency .
has the capability of effecting change and inspiring hope .,an epic of grandeur and scale that's been decades gone from the popcorn pushing sound stages of hollywood .,has its charming quirks and its dull spots .,possibly not since grumpy old men have i heard a film so solidly connect with one demographic while striking out with another .
. . . a series of tales told with the intricate preciseness of the best short story writing .,an enchanting film that presents an audacious tour of the past and takes within its warm embrace the bounties of cultural artifacts inside st . petersburg's hermitage museum .,"a piece of mildly entertaining , inoffensive fluff that drifts aimlessly for 90 minutes before lodging in the cracks of that ever-growing category : unembarrassing but unmemorable .","the plot grows thin soon , and you find yourself praying for a quick resolution ."
like old myths and wonder tales spun afresh .,"the results , if not memorable , are at least interesting .",i'll bet the video game is a lot more fun than the film .,"a markedly inactive film , city is conversational bordering on confessional ."
"witty and often surprising , a dark little morality tale disguised as a romantic comedy .","charming and witty , it's also somewhat clumsy .","not only unfunny , but downright repellent .","with a story inspired by the tumultuous surroundings of los angeles , where feelings of marginalization loom for every dreamer with a burst bubble , the dogwalker has a few characters and ideas , but it never manages to put them on the same path ."
so purely enjoyable that you might not even notice it's a fairly straightforward remake of hollywood comedies such as father of the bride .,"watching haneke's film is , aptly enough , a challenge and a punishment . but watching huppert , a great actress tearing into a landmark role , is riveting .",[u]nrelentingly stupid .,"expect the same-old , lame-old slasher nonsense , just with different scenery ."
"[hayek] throws herself into this dream hispanic role with a teeth-clenching gusto , she strikes a potent chemistry with molina and she gradually makes us believe she is kahlo .","khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum .","a dark , dull thriller with a parting shot that misfires .","as with too many studio pics , plot mechanics get in the way of what should be the lighter-than-air adventure ."
"by not averting his eyes , solondz forces us to consider the unthinkable , the unacceptable , the unmentionable .",almost peerlessly unsettling .,"yet another iteration of what's become one of the movies' creepiest conventions , in which the developmentally disabled are portrayed with almost supernatural powers to humble , teach and ultimately redeem their mentally "" superior "" friends , family . . .","a real clunker . a well-made , thoughtful , well-acted clunker , but a clunker nonetheless ."
i am highly amused by the idea that we have come to a point in society where it has been deemed important enough to make a film in which someone has to be hired to portray richard dawson .,"i found myself liking the film , though in this case one man's treasure could prove to be another man's garbage .","bolstered by an astonishing voice cast ( excepting love hewitt ) , an interesting racial tension , and a storyline that i haven't encountered since at least pete's dragon .",obstacles are too easily overcome and there isn't much in the way of character development in the script .
the pitch must have read like a discarded house beautiful spread .,"i don't know precisely what to make of steven soderbergh's full frontal , though that didn't stop me from enjoying much of it .","ver wiel's desperate attempt at wit is lost , leaving the character of critical jim two-dimensional and pointless .",a movie like the guys is why film criticism can be considered work .
"kwan is a master of shadow , quietude , and room noise , and lan yu is a disarmingly lived-in movie .",a knowing sense of humor and a lot of warmth ignite son of the bride .,what was once original has been co-opted so frequently that it now seems pedestrian .,"an earnest racial-issues picture that might have gotten respectful critical praise in a different era -- say , the '60s ."
the combination of lightness and strictness in this instance gives italian for beginners an amiable aimlessness that keeps it from seeming predictably formulaic .,even the digressions are funny .,[u]nrelentingly stupid .,"the weird thing about the santa clause 2 , purportedly a children's movie , is that there is nothing in it to engage children emotionally ."
"it's unnerving to see recoing's bizzarre reaction to his unemployment . good film , but very glum .","a powerful and telling story that examines forbidden love , racial tension , and other issues that are as valid today as they were in the 1950s .","the documentary is much too conventional -- lots of boring talking heads , etc . -- to do the subject matter justice .","alas , the black-and-white archival footage of their act showcases pretty mediocre shtick ."
"an engaging , formulaic sports drama that carries a charge of genuine excitement .","altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece .","a boring , formulaic mix of serial killers and stalk'n'slash .","however sincere it may be , the rising place never quite justifies its own existence ."
"a mess , but it's a sincere mess .",pray's film works well and will appeal even to those who aren't too familiar with turntablism .,the hackneyed story about an affluent damsel in distress who decides to fight her bully of a husband is simply too overdone .,"good for a few unintentional laughs , "" extreme ops "" was obviously made for the "" xxx "" crowd , people who enjoy mindless action without the benefit of decent acting , writing , and direction ."
"we can see the wheels turning , and we might resent it sometimes , but this is still a nice little picture , made by bright and friendly souls with a lot of good cheer .","what's so fun about this silly , outrageous , ingenious thriller is the director's talent . watching a brian depalma movie is like watching an alfred hitchcock movie after drinking twelve beers .","supposedly , pokemon can't be killed , but pokemon 4ever practically assures that the pocket monster movie franchise is nearly ready to keel over .","a punch line without a premise , a joke built entirely from musty memories of half-dimensional characters ."
good-naturedly cornball sequel .,"informative , intriguing , observant , often touching . . . gives a human face to what's often discussed in purely abstract terms .","miller is playing so free with emotions , and the fact that children are hostages to fortune , that he makes the audience hostage to his swaggering affectation of seriousness .","the movie straddles the fence between escapism and social commentary , and on both sides it falls short ."
playing a role of almost bergmanesque intensity . . . bisset is both convincing and radiant .,"even during the climactic hourlong cricket match , boredom never takes hold .","it leers , offering next to little insight into its intriguing subject .",the young stars are too cute ; the story and ensuing complications are too manipulative ; the message is too blatant ; the resolutions are too convenient .
"while undercover brother is definitely one for the masses , it's also full of sharp , smart satire .","it's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .",no one but a convict guilty of some truly heinous crime should have to sit through the master of disguise .,a hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the mason-dixon line .
"a movie that will thrill you , touch you and make you laugh as well .",a quiet family drama with a little bit of romance and a dose of darkness .,"while the importance of being earnest offers opportunities for occasional smiles and chuckles , it doesn't give us a reason to be in the theater beyond wilde's wit and the actors' performances .","feels shrill , simple and soapy ."
"[there's] quite a bit of heart , as you would expect from the directors of the little mermaid and aladdin .","this big screen caper has a good bark , far from being a bow-wow .",a soulless jumble of ineptly assembled cliches and pabulum that plays like a 95-minute commercial for nba properties .,"some of seagal's action pictures are guilty pleasures , but this one is so formulaic that it seems to be on auto-pilot ."
"' . . . the film's considered approach to its subject matter is too calm and thoughtful for agitprop , and the thinness of its characterizations makes it a failure as straight drama . '","an amusing , breezily apolitical documentary about life on the campaign trail .","shanghai ghetto should be applauded for finding a new angle on a tireless story , but you might want to think twice before booking passage .","i'm all for the mentally challenged getting their fair shot in the movie business , but surely it doesn't have to be as a collection of keening and self-mutilating sideshow geeks ."
"exactly what its title implies : lusty , boisterous and utterly charming .",reign of fire looks as if it was made without much thought -- and is best watched that way .,nothing more substantial than a fitfully clever doodle .,"a markedly inactive film , city is conversational bordering on confessional ."
"the film has an infectious enthusiasm and we're touched by the film's conviction that all life centered on that place , that time and that sport .","standing by yourself is haunting . . . [it's] what punk rock music used to be , and what the video medium could use more of : spirit , perception , conviction .","will probably stay in the shadow of its two older , more accessible qatsi siblings .",more of a career curio than a major work .
"below may not mark mr . twohy's emergence into the mainstream , but his promise remains undiminished .",a pleasant romantic comedy .,"a disaster of a drama , saved only by its winged assailants .",. . . stumbles over every cheap trick in the book trying to make the outrage come even easier .
most of the things that made the original men in black such a pleasure are still there .,"disney's live-action division has a history of releasing cinematic flotsam , but this is one occasion when they have unearthed a rare gem .","john carlen's script is full of unhappy , two-dimensional characters who are anything but compelling .","it's played in the most straight-faced fashion , with little humor to lighten things up . the heavy-handed film is almost laughable as a consequence ."
jaglom . . . put[s] the audience in the privileged position of eavesdropping on his characters,"ryan gosling is , in a word , brilliant as the conflicted daniel .","the most remarkable ( and frustrating ) thing about world traveler , which opens today in manhattan , is that its protagonist , after being an object of intense scrutiny for 104 minutes , remains a complete blank .","a jumbled fantasy comedy that did not figure out a coherent game plan at scripting , shooting or post-production stages ."
"the screenwriters dig themselves in deeper every time they toss logic and science into what is essentially a "" dungeons and dragons "" fantasy with modern military weaponry . . .",the best way to describe it is as a cross between paul thomas anderson's magnolia and david lynch's mulholland dr .,"this time mr . burns is trying something in the martin scorsese street-realist mode , but his self-regarding sentimentality trips him up again .",a sudsy cautionary tale .
"a thoughtful , moving piece that faces difficult issues with honesty and beauty .","maid in manhattan might not look so appealing on third or fourth viewing down the road . . . but as a high concept vehicle for two bright stars of the moment who can rise to fans' lofty expectations , the movie passes inspection .",both the crime story and the love story are unusual . but they don't fit well together and neither is well told .,"a silly , self-indulgent film about a silly , self-indulgent filmmaker ."
"it's a piece of handiwork that shows its indie tatters and self-conscious seams in places , but has some quietly moving moments and an intelligent subtlety .","while not all that bad of a movie , it's nowhere near as good as the original .","worthless , from its pseudo-rock-video opening to the idiocy of its last frames .","a reasonably efficient mechanism , but it offers few surprises and finds its stars slumming in territory they should have avoided ."
""" mr . deeds "" is suitable summer entertainment that offers escapism without requiring a great deal of thought .",could this be the first major studio production shot on video tape instead of film ?,the kids often appear to be reading the lines and are incapable of conveying any emotion .,"there ought to be a directing license , so that ed burns can have his revoked ."
"even when there are lulls , the emotions seem authentic , and the picture is so lovely toward the end . . . you almost don't notice the 129-minute running time .","for those in search of something different , wendigo is a genuinely bone-chilling tale .",a family-friendly fantasy that ends up doing very little with its imaginative premise .,"oedekerk wrote patch adams , for which he should not be forgiven . why he was given free reign over this project -- he wrote , directed , starred and produced -- is beyond me ."
"all the actors are good in pauline & paulette but van der groen , described as 'belgium's national treasure , ' is especially terrific as pauline .","the storytelling may be ordinary , but the cast is one of those all-star reunions that fans of gosford park have come to assume is just another day of brit cinema .","they're going through the motions , but the zip is gone .","a tired , unimaginative and derivative variation of that already-shallow genre ."
"if you are an actor who can relate to the search for inner peace by dramatically depicting the lives of others onstage , then esther's story is a compelling quest for truth .","it won't hold up over the long haul , but in the moment , finch's tale provides the forgettable pleasures of a saturday matinee .","yet another iteration of what's become one of the movies' creepiest conventions , in which the developmentally disabled are portrayed with almost supernatural powers to humble , teach and ultimately redeem their mentally "" superior "" friends , family . . .","the film feels formulaic , its plot and pacing typical hollywood war-movie stuff , while the performances elicit more of a sense of deja vu than awe ."
"remains a solid , if somewhat heavy-handed , account of the near-disaster . . . done up by howard with a steady , if not very imaginative , hand .",it's an experience in understanding a unique culture that is presented with universal appeal .,"bolstered by an astonishing voice cast ( excepting love hewitt ) , an interesting racial tension , and a storyline that i haven't encountered since at least pete's dragon .","wendigo wants to be a monster movie for the art-house crowd , but it falls into the trap of pretention almost every time ."
windtalkers celebrates the human spirit and packs an emotional wallop .,"a terrific b movie -- in fact , the best in recent memory .","this series should have died long ago , but they keep bringing it back another day as punishment for paying money to see the last james bond movie .",may offend viewers not amused by the sick sense of humor .
